,chr,left,right,size
1247,chr1,72919500,73073500,154000
1252,chr1,72932500,73124500,192000
1273,chr1,73108500,73174500,66000
1304,chr1,80216500,80293500,77000
1306,chr1,80265500,80335500,70000
1317,chr1,80990500,81023500,33000
1350,chr1,78193500,78431500,238000
1355,chr1,78534500,78682500,148000
1357,chr1,78703500,78824500,121000
1380,chr1,79650500,79738500,88000
1381,chr1,79650500,79753500,103000
1402,chr1,77372500,77487500,115000
1421,chr1,74222500,74428500,206000
1422,chr1,74246500,74323500,77000
1426,chr1,74438500,74491500,53000
1445,chr1,74902500,75058500,156000
1455,chr1,74988500,75444500,456000
1456,chr1,74989500,75119500,130000
1461,chr1,75102500,75144500,42000
1462,chr1,75118500,75229500,111000
1464,chr1,75146500,75187500,41000
1471,chr1,75195500,75293500,98000
1480,chr1,75390500,75444500,54000
1482,chr1,75455500,75497500,42000
1496,chr1,82781500,82863500,82000
1498,chr1,82799500,83016500,217000
1508,chr1,83426500,83467500,41000
1509,chr1,83791500,83906500,115000
1540,chr1,84450500,84560500,110000
1545,chr1,84702500,84804500,102000
1555,chr1,85781500,85862500,81000
1569,chr1,86238500,86286500,48000
1573,chr1,86288500,86363500,75000
1575,chr1,86344500,86540500,196000
1578,chr1,86368500,86511500,143000
1610,chr1,86578500,86988500,410000
1618,chr1,86585500,86813500,228000
1621,chr1,86590500,87036500,446000
1640,chr1,86627500,86792500,165000
1644,chr1,86636500,86863500,227000
1655,chr1,86660500,86790500,130000
1656,chr1,86662500,86840500,178000
1663,chr1,86684500,86954500,270000
1666,chr1,86689500,86785500,96000
1669,chr1,86757500,86923500,166000
1672,chr1,86790500,86969500,179000
1676,chr1,87040500,87113500,73000
1679,chr1,87101500,87173500,72000
1680,chr1,87101500,87374500,273000
1681,chr1,87102500,87220500,118000
1682,chr1,87113500,87438500,325000
1684,chr1,87142500,87192500,50000
1685,chr1,87142500,87255500,113000
1689,chr1,87146500,87220500,74000
1693,chr1,87207500,87337500,130000
1701,chr1,87336500,87630500,294000
1702,chr1,87349500,87632500,283000
1706,chr1,87375500,87649500,274000
1707,chr1,87375500,87683500,308000
1716,chr1,87449500,87598500,149000
1724,chr1,87684500,87781500,97000
1729,chr1,87753500,87891500,138000
1756,chr1,88244500,88285500,41000
1764,chr1,88285500,88350500,65000
1773,chr1,88308500,88638500,330000
1835,chr1,88687500,88955500,268000
1860,chr1,88943500,88998500,55000
1871,chr1,89163500,89270500,107000
1881,chr1,89271500,89510500,239000
1882,chr1,89294500,89559500,265000
1892,chr1,89670500,89887500,217000
1895,chr1,89698500,89940500,242000
1956,chr1,89988500,90298500,310000
1960,chr1,90022500,90515500,493000
1962,chr1,90041500,90517500,476000
1968,chr1,90130500,90352500,222000
1970,chr1,90150500,90520500,370000
1972,chr1,90230500,90484500,254000
1975,chr1,90419500,90455500,36000
1983,chr1,90856500,91167500,311000
1984,chr1,90856500,91294500,438000
1998,chr1,90982500,91022500,40000
2000,chr1,91107500,91273500,166000
2001,chr1,91177500,91325500,148000
2003,chr1,91179500,91225500,46000
2004,chr1,91226500,91341500,115000
2006,chr1,91274500,91411500,137000
2007,chr1,91275500,91308500,33000
2008,chr1,91292500,91411500,119000
2014,chr1,91341500,91421500,80000
2016,chr1,91356500,91490500,134000
2017,chr1,91356500,91746500,390000
2018,chr1,91357500,91462500,105000
2022,chr1,91465500,91729500,264000
2024,chr1,91617500,91802500,185000
2025,chr1,91683500,91802500,119000
2058,chr1,91836500,92219500,383000
2059,chr1,91842500,92243500,401000
2060,chr1,91843500,92360500,517000
2064,chr1,91860500,92381500,521000
2080,chr1,91931500,92314500,383000
2088,chr1,92042500,92287500,245000
2089,chr1,92051500,92379500,328000
2099,chr1,92579500,92797500,218000
2105,chr1,92884500,93102500,218000
2108,chr1,93056500,93328500,272000
2110,chr1,93102500,93201500,99000
2112,chr1,93163500,93270500,107000
2119,chr1,93439500,93681500,242000
2121,chr1,93596500,93730500,134000
2130,chr1,97982500,98072500,90000
2153,chr1,105290500,105557500,267000
2160,chr1,105708500,105917500,209000
2161,chr1,105710500,105964500,254000
2162,chr1,105818500,105982500,164000
2182,chr1,106000500,106079500,79000
2183,chr1,106000500,106097500,97000
2190,chr1,106033500,106305500,272000
2192,chr1,106079500,106275500,196000
2194,chr1,106097500,106274500,177000
2197,chr1,106688500,106723500,35000
2202,chr1,106746500,106812500,66000
2228,chr1,117309500,117430500,121000
2234,chr1,118238500,118316500,78000
2236,chr1,118250500,118403500,153000
2237,chr1,118263500,118425500,162000
2239,chr1,118294500,118393500,99000
2260,chr1,118932500,119008500,76000
2280,chr1,119087500,119184500,97000
2283,chr1,119184500,119351500,167000
2289,chr1,119273500,119371500,98000
2291,chr1,119273500,119410500,137000
2296,chr1,119386500,119468500,82000
2297,chr1,119431500,119838500,407000
2299,chr1,119453500,119577500,124000
2306,chr1,119548500,119603500,55000
2307,chr1,119551500,119639500,88000
2309,chr1,119574500,119839500,265000
2311,chr1,119581500,119632500,51000
2314,chr1,119616500,119823500,207000
2315,chr1,119621500,119657500,36000
2316,chr1,119632500,119714500,82000
2318,chr1,119639500,119684500,45000
2319,chr1,119639500,119751500,112000
2320,chr1,119650500,119697500,47000
2327,chr1,119960500,120125500,165000
2330,chr1,119961500,120047500,86000
2339,chr1,120082500,120397500,315000
2340,chr1,120099500,120224500,125000
2346,chr1,120159500,120224500,65000
2350,chr1,120375500,120477500,102000
2373,chr1,120567500,121108500,541000
2392,chr1,120708500,120770500,62000
2455,chr1,127208500,127385500,177000
2456,chr1,127211500,127323500,112000
2459,chr1,127424500,127850500,426000
2461,chr1,127429500,127554500,125000
2466,chr1,127545500,127671500,126000
2467,chr1,127545500,127648500,103000
2470,chr1,127909500,127969500,60000
2476,chr1,127900500,128125500,225000
2481,chr1,128274500,128751500,477000
2487,chr1,128323500,128366500,43000
2494,chr1,128871500,129003500,132000
2515,chr1,131025500,131065500,40000
2517,chr1,131025500,131172500,147000
2523,chr1,131065500,131172500,107000
2527,chr1,131135500,131483500,348000
2532,chr1,131289500,131483500,194000
2535,chr1,131741500,131774500,33000
2536,chr1,131743500,131808500,65000
2537,chr1,131838500,131935500,97000
2541,chr1,135873500,136004500,131000
2549,chr1,136044500,136103500,59000
2550,chr1,136117500,136361500,244000
2552,chr1,136161500,136342500,181000
2553,chr1,136188500,136342500,154000
2569,chr1,136553500,136667500,114000
2570,chr1,136554500,136601500,47000
2572,chr1,136601500,136656500,55000
2574,chr1,136624500,136656500,32000
2582,chr1,137053500,137152500,99000
2591,chr1,131935500,132118500,183000
2593,chr1,132049500,132234500,185000
2594,chr1,132084500,132449500,365000
2595,chr1,132086500,132318500,232000
2598,chr1,132128500,132193500,65000
2600,chr1,132166500,132283500,117000
2601,chr1,132186500,132282500,96000
2605,chr1,132295500,132522500,227000
2616,chr1,132474500,132866500,392000
2619,chr1,132568500,132886500,318000
2620,chr1,132685500,133043500,358000
2621,chr1,132686500,132962500,276000
2634,chr1,132966500,133281500,315000
2642,chr1,133074500,133280500,206000
2649,chr1,133097500,133500500,403000
2650,chr1,133107500,133196500,89000
2652,chr1,133107500,133308500,201000
2653,chr1,133117500,133483500,366000
2666,chr1,133311500,133419500,108000
2667,chr1,133311500,133434500,123000
2668,chr1,133312500,133457500,145000
2669,chr1,133325500,133420500,95000
2671,chr1,133351500,133420500,69000
2672,chr1,133351500,133537500,186000
2676,chr1,133573500,133976500,403000
2683,chr1,133667500,133785500,118000
2687,chr1,133621500,134007500,386000
2688,chr1,133623500,134026500,403000
2710,chr1,134423500,134484500,61000
2720,chr1,134632500,134780500,148000
2721,chr1,134671500,134781500,110000
2724,chr1,134958500,135034500,76000
2730,chr1,135100500,135240500,140000
2741,chr1,135357500,135603500,246000
2742,chr1,135358500,135614500,256000
2746,chr1,135513500,135614500,101000
2748,chr1,135631500,135716500,85000
2751,chr1,135681500,135775500,94000
2752,chr1,135681500,135872500,191000
2754,chr1,135739500,135872500,133000
2765,chr1,143541500,143575500,34000
2770,chr1,140099500,140412500,313000
2807,chr1,149948500,150043500,95000
2809,chr1,150258500,150326500,68000
2822,chr1,150797500,150885500,88000
2835,chr1,151338500,151508500,170000
2837,chr1,151357500,151534500,177000
2839,chr1,151376500,151631500,255000
2846,chr1,151706500,151996500,290000
2873,chr1,151695500,152022500,327000
2910,chr1,152262500,152386500,124000
2925,chr1,152665500,153278500,613000
2927,chr1,152666500,153092500,426000
2929,chr1,152667500,153300500,633000
2930,chr1,152668500,152791500,123000
2933,chr1,152670500,152885500,215000
2934,chr1,152679500,152817500,138000
2940,chr1,152692500,152778500,86000
2947,chr1,152711500,152965500,254000
2964,chr1,152779500,152831500,52000
2968,chr1,152791500,152908500,117000
2969,chr1,152793500,152850500,57000
2970,chr1,152793500,152868500,75000
3003,chr1,152975500,153093500,118000
3012,chr1,153104500,153274500,170000
3026,chr1,153301500,153364500,63000
3035,chr1,153518500,153618500,100000
3036,chr1,153770500,153994500,224000
3037,chr1,153774500,153954500,180000
3039,chr1,153910500,153994500,84000
3058,chr1,160411500,160459500,48000
3061,chr1,160572500,160749500,177000
3062,chr1,160585500,160761500,176000
3063,chr1,160763500,160999500,236000
3082,chr1,161706500,161746500,40000
3084,chr1,155961500,156091500,130000
3088,chr1,156091500,156314500,223000
3089,chr1,156092500,156247500,155000
3090,chr1,156249500,156301500,52000
3092,chr1,156366500,156503500,137000
3093,chr1,156386500,156502500,116000
3094,chr1,156458500,156541500,83000
3100,chr1,156566500,156684500,118000
3107,chr1,156621500,156707500,86000
3115,chr1,156719500,156905500,186000
3148,chr1,153995500,154056500,61000
3202,chr1,154903500,155032500,129000
3210,chr1,154974500,155120500,146000
3225,chr1,155190500,155273500,83000
3226,chr1,155192500,155344500,152000
3230,chr1,155293500,155433500,140000
3234,chr1,155451500,155553500,102000
3244,chr1,155491500,155596500,105000
3258,chr1,155917500,155986500,69000
3288,chr1,163781500,163813500,32000
3295,chr1,168184500,168259500,75000
3296,chr1,168210500,168244500,34000
3317,chr1,169777500,169988500,211000
3318,chr1,169778500,169866500,88000
3319,chr1,169795500,169924500,129000
3320,chr1,169798500,169963500,165000
3337,chr1,164195500,164263500,68000
3352,chr1,164343500,164437500,94000
3369,chr1,165036500,165087500,51000
3382,chr1,165691500,165886500,195000
3383,chr1,165852500,165981500,129000
3395,chr1,165930500,166147500,217000
3428,chr1,166610500,166861500,251000
3440,chr1,167111500,167177500,66000
3454,chr1,167243500,167414500,171000
3461,chr1,167477500,167609500,132000
3462,chr1,167498500,167610500,112000
3463,chr1,167498500,167741500,243000
3465,chr1,167519500,167629500,110000
3466,chr1,167530500,167759500,229000
3467,chr1,167596500,167674500,78000
3485,chr1,175242500,175314500,72000
3496,chr1,176051500,176158500,107000
3520,chr1,176707500,176864500,157000
3527,chr1,176780500,176851500,71000
3528,chr1,177085500,177150500,65000
3529,chr1,177085500,177512500,427000
3533,chr1,177235500,177529500,294000
3551,chr1,169779500,170028500,249000
3552,chr1,169984500,170027500,43000
3553,chr1,170003500,170041500,38000
3564,chr1,170075500,170107500,32000
3575,chr1,170138500,170410500,272000
3580,chr1,170143500,170373500,230000
3581,chr1,170697500,170863500,166000
3583,chr1,170700500,170824500,124000
3603,chr1,170941500,171109500,168000
3608,chr1,170978500,171049500,71000
3610,chr1,171018500,171066500,48000
3614,chr1,171077500,171114500,37000
3615,chr1,171092500,171184500,92000
3620,chr1,171109500,171186500,77000
3621,chr1,171115500,171156500,41000
3624,chr1,171157500,171239500,82000
3627,chr1,171188500,171239500,51000
3631,chr1,171331500,171393500,62000
3647,chr1,171718500,171753500,35000
3649,chr1,171909500,171952500,43000
3654,chr1,171909500,172140500,231000
3655,chr1,171971500,172185500,214000
3658,chr1,171976500,172045500,69000
3659,chr1,171989500,172153500,164000
3660,chr1,171989500,172185500,196000
3661,chr1,172014500,172138500,124000
3669,chr1,172390500,172459500,69000
3699,chr1,184058500,184130500,72000
3720,chr1,184934500,184969500,35000
3723,chr1,185114500,185234500,120000
3729,chr1,185414500,185659500,245000
3786,chr1,178189500,178276500,87000
3795,chr1,178388500,178954500,566000
3800,chr1,179023500,179278500,255000
3801,chr1,179024500,179058500,34000
3803,chr1,179334500,179430500,96000
3820,chr1,179495500,179630500,135000
3828,chr1,179674500,179786500,112000
3841,chr1,179740500,179971500,231000
3842,chr1,179769500,179975500,206000
3850,chr1,181976500,182236500,260000
3877,chr1,183025500,183205500,180000
3885,chr1,183251500,183407500,156000
3891,chr1,183422500,183466500,44000
3932,chr1,179787500,180054500,267000
3934,chr1,180083500,180396500,313000
3937,chr1,180158500,180213500,55000
3938,chr1,180261500,180494500,233000
3942,chr1,180450500,180592500,142000
3943,chr1,180468500,180553500,85000
3950,chr1,180641500,180716500,75000
3957,chr1,180717500,180808500,91000
3960,chr1,180731500,180844500,113000
3966,chr1,180844500,181039500,195000
3983,chr1,181181500,181373500,192000
3985,chr1,181207500,181372500,165000
3986,chr1,181292500,181372500,80000
3987,chr1,181294500,181443500,149000
3988,chr1,181346500,181443500,97000
3991,chr1,181690500,181967500,277000
3998,chr1,181749500,181846500,97000
4024,chr1,186189500,186241500,52000
4029,chr1,186560500,186738500,178000
4047,chr1,188726500,189360500,634000
4059,chr1,189048500,189310500,262000
4060,chr1,189075500,189312500,237000
4061,chr1,189075500,189360500,285000
4063,chr1,189284500,189360500,76000
4068,chr1,189394500,189705500,311000
4073,chr1,189494500,189563500,69000
4113,chr1,190660500,190915500,255000
4119,chr1,190741500,191007500,266000
4121,chr1,190858500,191008500,150000
4123,chr1,190887500,191009500,122000
4125,chr1,191058500,191128500,70000
4127,chr1,191096500,191201500,105000
4143,chr1,191939500,191991500,52000
4174,chr1,191872500,192014500,142000
4186,chr1,191906500,192282500,376000
4204,chr1,192428500,192516500,88000
4207,chr1,192432500,192785500,353000
4210,chr1,192448500,192564500,116000
4211,chr1,192452500,192516500,64000
4212,chr1,192466500,192808500,342000
4214,chr1,192538500,192811500,273000
4222,chr1,192891500,193045500,154000
4223,chr1,192955500,193061500,106000
4225,chr1,193103500,193374500,271000
4226,chr1,193277500,193335500,58000
4239,chr1,193803500,193870500,67000
4274,chr10,3485500,3922500,437000
4284,chr10,4039500,4321500,282000
4285,chr10,4039500,4342500,303000
4286,chr10,4057500,4285500,228000
4287,chr10,4058500,4336500,278000
4291,chr10,4193500,4337500,144000
4292,chr10,4203500,4324500,121000
4294,chr10,4239500,4324500,85000
4300,chr10,4375500,4494500,119000
4301,chr10,4375500,4472500,97000
4309,chr10,4576500,5133500,557000
4333,chr10,5500500,5754500,254000
4338,chr10,5552500,5764500,212000
4349,chr10,7720500,8084500,364000
4360,chr10,7929500,8072500,143000
4375,chr10,8619500,8654500,35000
4387,chr10,9452500,9500500,48000
4400,chr10,6835500,6927500,92000
4418,chr10,7466500,7557500,91000
4419,chr10,7494500,7556500,62000
4421,chr10,7557500,7602500,45000
4422,chr10,7557500,7668500,111000
4429,chr10,17054500,17088500,34000
4451,chr10,11142500,11215500,73000
4485,chr10,12640500,12740500,100000
4486,chr10,12744500,12840500,96000
4496,chr10,12941500,13371500,430000
4498,chr10,12965500,13199500,234000
4502,chr10,13040500,13193500,153000
4505,chr10,13377500,13428500,51000
4513,chr10,17983500,18072500,89000
4515,chr10,18089500,18265500,176000
4521,chr10,18267500,18421500,154000
4527,chr10,18636500,18710500,74000
4538,chr10,18891500,19083500,192000
4548,chr10,19175500,19367500,192000
4553,chr10,19586500,19809500,223000
4556,chr10,19726500,19783500,57000
4558,chr10,19771500,19949500,178000
4574,chr10,24247500,24280500,33000
4578,chr10,24313500,24483500,170000
4579,chr10,24506500,24771500,265000
4597,chr10,24947500,25095500,148000
4599,chr10,25126500,25364500,238000
4601,chr10,25145500,25272500,127000
4627,chr10,25662500,25738500,76000
4638,chr10,19949500,20001500,52000
4675,chr10,20284500,20537500,253000
4694,chr10,20368500,20484500,116000
4710,chr10,20868500,21254500,386000
4718,chr10,20926500,21010500,84000
4722,chr10,20964500,21065500,101000
4726,chr10,21035500,21172500,137000
4727,chr10,21259500,21476500,217000
4738,chr10,21622500,21703500,81000
4741,chr10,21813500,21855500,42000
4775,chr10,22993500,23026500,33000
4787,chr10,23572500,23615500,43000
4864,chr10,33895500,34083500,188000
4865,chr10,33896500,34173500,277000
4866,chr10,33911500,34174500,263000
4867,chr10,33971500,34111500,140000
4895,chr10,39045500,39430500,385000
4896,chr10,39116500,39245500,129000
4898,chr10,39468500,39606500,138000
4904,chr10,39836500,39900500,64000
4909,chr10,39772500,40017500,245000
4910,chr10,39773500,40124500,351000
4913,chr10,39835500,40018500,183000
4916,chr10,40017500,40089500,72000
4918,chr10,40088500,40404500,316000
4924,chr10,40135500,40301500,166000
4940,chr10,40224500,40301500,77000
4943,chr10,40261500,40380500,119000
4967,chr10,40880500,41086500,206000
4973,chr10,40893500,41086500,193000
5002,chr10,41686500,41762500,76000
5023,chr10,44244500,44404500,160000
5026,chr10,44268500,44334500,66000
5027,chr10,44268500,44359500,91000
5028,chr10,44268500,44404500,136000
5031,chr10,44410500,44615500,205000
5067,chr10,41990500,42161500,171000
5076,chr10,42185500,42584500,399000
5088,chr10,42459500,42637500,178000
5097,chr10,42879500,43050500,171000
5103,chr10,43086500,43297500,211000
5104,chr10,43087500,43284500,197000
5108,chr10,43191500,43254500,63000
5124,chr10,43452500,43814500,362000
5142,chr10,51430500,51532500,102000
5147,chr10,57340500,57447500,107000
5158,chr10,52004500,52262500,258000
5174,chr10,53505500,53626500,121000
5198,chr10,58283500,58368500,85000
5204,chr10,58396500,58510500,114000
5213,chr10,58945500,58985500,40000
5235,chr10,59189500,59652500,463000
5265,chr10,59287500,59623500,336000
5268,chr10,59312500,59489500,177000
5270,chr10,59319500,59602500,283000
5277,chr10,59340500,59580500,240000
5278,chr10,59343500,59598500,255000
5279,chr10,59353500,59677500,324000
5291,chr10,59775500,59902500,127000
5292,chr10,59788500,59838500,50000
5295,chr10,61558500,62004500,446000
5303,chr10,61942500,62078500,136000
5304,chr10,62023500,62218500,195000
5305,chr10,62098500,62323500,225000
5306,chr10,62164500,62246500,82000
5307,chr10,62175500,62322500,147000
5309,chr10,62336500,62425500,89000
5310,chr10,62414500,62486500,72000
5316,chr10,62455500,62606500,151000
5317,chr10,62473500,62587500,114000
5325,chr10,62627500,62783500,156000
5327,chr10,62629500,62815500,186000
5329,chr10,62732500,62817500,85000
5330,chr10,62732500,62859500,127000
5338,chr10,62989500,63124500,135000
5349,chr10,59960500,60081500,121000
5359,chr10,60185500,60590500,405000
5372,chr10,60278500,60591500,313000
5378,chr10,60317500,60449500,132000
5379,chr10,60317500,60532500,215000
5383,chr10,60367500,60468500,101000
5387,chr10,60522500,60902500,380000
5401,chr10,60983500,61219500,236000
5403,chr10,60984500,61151500,167000
5408,chr10,61036500,61109500,73000
5409,chr10,61036500,61253500,217000
5411,chr10,61073500,61252500,179000
5412,chr10,61110500,61253500,143000
5413,chr10,61151500,61237500,86000
5414,chr10,61178500,61253500,75000
5421,chr10,61287500,61484500,197000
5422,chr10,61287500,61516500,229000
5424,chr10,61327500,61530500,203000
5425,chr10,61328500,61458500,130000
5430,chr10,61580500,61814500,234000
5432,chr10,61618500,61946500,328000
5433,chr10,61619500,61814500,195000
5438,chr10,61666500,61764500,98000
5446,chr10,61818500,61891500,73000
5458,chr10,66542500,66626500,84000
5463,chr10,66689500,67082500,393000
5470,chr10,66748500,66885500,137000
5478,chr10,66804500,66917500,113000
5483,chr10,66839500,66962500,123000
5484,chr10,66863500,66935500,72000
5485,chr10,66886500,66934500,48000
5488,chr10,67083500,67147500,64000
5492,chr10,67121500,67372500,251000
5507,chr10,67183500,67601500,418000
5508,chr10,67184500,67559500,375000
5512,chr10,67260500,67369500,109000
5518,chr10,67371500,67640500,269000
5519,chr10,67371500,67695500,324000
5527,chr10,67933500,67966500,33000
5545,chr10,69704500,70090500,386000
5546,chr10,69705500,70041500,336000
5547,chr10,69859500,70023500,164000
5548,chr10,69932500,70080500,148000
5549,chr10,69932500,70128500,196000
5555,chr10,70139500,70399500,260000
5572,chr10,70576500,70676500,100000
5576,chr10,70833500,71054500,221000
5577,chr10,70929500,71007500,78000
5583,chr10,67926500,68119500,193000
5584,chr10,67974500,68015500,41000
5586,chr10,67994500,68162500,168000
5592,chr10,68047500,68117500,70000
5599,chr10,68217500,68314500,97000
5607,chr10,68313500,68389500,76000
5630,chr10,68742500,68840500,98000
5633,chr10,68814500,68937500,123000
5637,chr10,69022500,69157500,135000
5638,chr10,69048500,69143500,95000
5641,chr10,69188500,69408500,220000
5643,chr10,69235500,69490500,255000
5652,chr10,69695500,69931500,236000
5653,chr10,69706500,69933500,227000
5655,chr10,69726500,69760500,34000
5657,chr10,69744500,69931500,187000
5675,chr10,75402500,75671500,269000
5677,chr10,75422500,75601500,179000
5679,chr10,75422500,75730500,308000
5683,chr10,75471500,75669500,198000
5684,chr10,75471500,75689500,218000
5686,chr10,75484500,75717500,233000
5687,chr10,75485500,75600500,115000
5689,chr10,75509500,75801500,292000
5690,chr10,75600500,75772500,172000
5703,chr10,75843500,75953500,110000
5705,chr10,75859500,75934500,75000
5708,chr10,75899500,75953500,54000
5713,chr10,75843500,76038500,195000
5715,chr10,75896500,76066500,170000
5717,chr10,75955500,76064500,109000
5740,chr10,76181500,76367500,186000
5741,chr10,76185500,76348500,163000
5744,chr10,76277500,76367500,90000
5746,chr10,76315500,76566500,251000
5784,chr10,76869500,77095500,226000
5785,chr10,76918500,76964500,46000
5786,chr10,76943500,77184500,241000
5788,chr10,76967500,77058500,91000
5801,chr10,77254500,77351500,97000
5806,chr10,77352500,77738500,386000
5809,chr10,77354500,77561500,207000
5810,chr10,77353500,77751500,398000
5814,chr10,77380500,77426500,46000
5815,chr10,77380500,77716500,336000
5821,chr10,77440500,77589500,149000
5824,chr10,77464500,77752500,288000
5837,chr10,79729500,80000500,271000
5838,chr10,79744500,80002500,258000
5839,chr10,79761500,80082500,321000
5841,chr10,79762500,80099500,337000
5842,chr10,79762500,80177500,415000
5843,chr10,79821500,80083500,262000
5844,chr10,79821500,80098500,277000
5846,chr10,79951500,80000500,49000
5848,chr10,79981500,80082500,101000
5849,chr10,79984500,80098500,114000
5861,chr10,80099500,80269500,170000
5862,chr10,80100500,80235500,135000
5867,chr10,80212500,80358500,146000
5868,chr10,80213500,80394500,181000
5872,chr10,80234500,80413500,179000
5873,chr10,80235500,80426500,191000
5874,chr10,80234500,80458500,224000
5883,chr10,80243500,80539500,296000
5891,chr10,80270500,80413500,143000
5892,chr10,80270500,80426500,156000
5893,chr10,80270500,80458500,188000
5894,chr10,80270500,80537500,267000
5897,chr10,80283500,80497500,214000
5901,chr10,80343500,80522500,179000
5902,chr10,80400500,80496500,96000
5904,chr10,80413500,80457500,44000
5906,chr10,80413500,80590500,177000
5916,chr10,80512500,80662500,150000
5922,chr10,80591500,80633500,42000
5927,chr10,80634500,80873500,239000
5928,chr10,80648500,80865500,217000
5935,chr10,80699500,80865500,166000
5936,chr10,80701500,80885500,184000
5947,chr10,80874500,81012500,138000
5950,chr10,80908500,81011500,103000
5957,chr10,81017500,81157500,140000
5960,chr10,81032500,81201500,169000
5961,chr10,81035500,81151500,116000
5963,chr10,81061500,81279500,218000
5966,chr10,81125500,81362500,237000
5969,chr10,81214500,81380500,166000
5971,chr10,81319500,81387500,68000
5973,chr10,81338500,81386500,48000
5974,chr10,81339500,81440500,101000
5982,chr10,81884500,81963500,79000
6000,chr10,78046500,78228500,182000
6002,chr10,78082500,78274500,192000
6009,chr10,78300500,78410500,110000
6035,chr10,78959500,79004500,45000
6059,chr10,79417500,79485500,68000
6060,chr10,79431500,79519500,88000
